;user_id;tweet_id;location;source;hashtags
5156;1186530887334129664;1190029773017403395;Seoul, Republic of Korea;Twitter for Android;'BTS'
5191;2828422465;1190029802541113349;Brasil;Twitter for Android;'btsfanart', 'BTS', 'RM', 'SpeakYourselfTheFinal_D3'
5209;765871438834307072;1190029813207011328;?????????????, ?????????;Twitter for iPad;'JiminOurSerendipity', 'JIMIN???????', 'JIMIN?????', '??', 'JIMIN', 'BTS', '?????'
5249;1110928942326669312;1190029845109104640;Indonesia;Twitter for iPhone;'BTS', 'SUGA', '???', 'SOPE'
5292;3280818997;1190029877820280832;????;Twitter for Android;
5311;1135137916185976832;1190029887903543299;United States;Twitter for Android;'BETHEBOSS', 'MakeItRight'
5313;1049881956761128961;1190029888578867201;Seoul, Republic of Korea;Twitter for Android;
5320;890019238974566400;1190029894832529415;Brasil;Twitter for Android;
5326;956199771462496256;1190029898309603328;????;Twitter for Android;'bts', '?????', 'Jhope', 'jhope', '???', '??', '???'
5328;274805424;1190029900553629700;Indonesia;Twitter for Android;'?????', '??', 'BTS', 'JK', 'JUNGKOOK'
5360;1118508706059001856;1190029920585551873;??;Twitter for iPhone;'MAMAVOTE', 'BTS'
5428;837982703223857152;1190029979620392962;?????????;Twitter for iPhone;'?????', 'BTS', 'V', '?', '??', 'TAEHYUNG', '??'
5436;975486248537206785;1190029986792714240;United States;Twitter for iPhone;'BTS', '?????', 'JIMIN', '??'
5446;1168527370237558784;1190029993113464834;??;Twitter for iPhone;
5462;1072620646268452864;1190030000629534721;????;Twitter for Android;'?', 'V', 'taehyung', '??', '???', '??', '?????', 'BTS', '?????', 'BTSV'
5477;2868151194;1190030014332522497;Brasil;Twitter for Android;
5560;880924373993091073;1190030076005507072;United States;Twitter for iPhone;'MAMAVOTE', 'BTS'
5583;2995979856;1190030094229786625;Thailand;Twitter for iPhone;'??', 'JUNGKOOK', 'RM', 'BTS'
5589;1019946230422626304;1190030096561819648;Seoul, Republic of Korea;Twitter for iPhone;
5608;458536116;1190030113305432064;Brasil;Twitter for Android;'BTS', 'MAMAVOTE'
5635;1127450515061628928;1190030134604128258;??;Twitter for iPhone;'????', 'BTS???R18'
5698;1006198505470349312;1190030177729953793;United States;Twitter for Android;'BTS', 'BoyWithLuv'
5728;1073724637706563584;1190030205286526978;Indonesia;Twitter for Android;
